BST Results
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, keyspace, interval, Op0, Op1, TotalOps
2025-03-17, 18:26:19, bst, 10000, 20, numa, numa, 0, 160000, 10, 0, 0, 0
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 10, 160000, 10, 49767266, 49928972, 99696238
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 20, 160000, 10, 92224986, 92498157, 184723143
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 30, 160000, 10, 132110967, 132503404, 264614371
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 40, 160000, 10, 170289697, 170860264, 341149961
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 50, 160000, 10, 207235012, 207957993, 415193005
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 60, 160000, 10, 243494574, 244378501, 487873075
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 70, 160000, 10, 279047352, 280072354, 559119706
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 80, 160000, 10, 314011081, 315165098, 629176179
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 90, 160000, 10, 348459610, 349751435, 698211045
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 100, 160000, 10, 382475513, 383910539, 766386052
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 110, 160000, 10, 416094179, 417671741, 833765920
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 120, 160000, 10, 449380549, 451095384, 900475933
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 130, 160000, 10, 482361524, 484208475, 966569999
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 140, 160000, 10, 515063707, 517042698, 1032106405
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 150, 160000, 10, 547504449, 549609654, 1097114103
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 160, 160000, 10, 579709472, 581948402, 1161657874
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 170, 160000, 10, 611700811, 614074275, 1225775086
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 180, 160000, 10, 643487825, 645997350, 1289485175
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 190, 160000, 10, 675061500, 677730264, 1352791764
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 200, 160000, 10, 706482436, 709281095, 1415763531
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 210, 160000, 10, 737736383, 740672055, 1478408438
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 220, 160000, 10, 768845098, 771896117, 1540741215
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 230, 160000, 10, 799803786, 802977178, 1602780964
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 240, 160000, 10, 830633819, 833926967, 1664560786
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 250, 160000, 10, 861309427, 864733516, 1726042943
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 260, 160000, 10, 891847033, 895417655, 1787264688
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 270, 160000, 10, 922287532, 925995090, 1848282622
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 280, 160000, 10, 952593078, 956451897, 1909044975
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 290, 160000, 10, 982809453, 986801265, 1969610718
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 300, 160000, 10, 1012925827, 1017038025, 2029963852
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 310, 160000, 10, 1042945155, 1047185517, 2090130672
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 320, 160000, 10, 1072865044, 1077221105, -2144881147
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 330, 160000, 10, 1102677771, 1107163405, -2085126120
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 340, 160000, 10, 1132391434, 1137016718, -2025559144
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 350, 160000, 10, 1162022527, 1166795253, -1966149516
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 360, 160000, 10, 1191582369, 1196482312, -1906902615
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 370, 160000, 10, 1221062804, 1226093877, -1847810615
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 380, 160000, 10, 1250482710, 1255632292, -1788852294
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 390, 160000, 10, 1279823526, 1285089480, -1730054290
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 400, 160000, 10, 1309091678, 1314475474, -1671400144
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 410, 160000, 10, 1338297037, 1343792773, -1612877486
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 420, 160000, 10, 1367424982, 1373041651, -1554500663
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 430, 160000, 10, 1396494426, 1402228988, -1496243882
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 440, 160000, 10, 1425504018, 1431346849, -1438116429
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 450, 160000, 10, 1454438154, 1460394633, -1380134509
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 460, 160000, 10, 1483319602, 1489390480, -1322257214
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 470, 160000, 10, 1512147479, 1518335552, -1264484265
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 480, 160000, 10, 1540925303, 1547227569, -1206814424
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 490, 160000, 10, 1569644429, 1576054489, -1149268378
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 500, 160000, 10, 1598297798, 1604829737, -1091839761
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 510, 160000, 10, 1626905407, 1633617796, -1034444093
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 520, 160000, 10, 1655453526, 1662630236, -976883534
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 530, 160000, 10, 1683974278, 1691302942, -919690076
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 540, 160000, 10, 1712442757, 1719888576, -862635963
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 550, 160000, 10, 1740869129, 1748418867, -805679300
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 560, 160000, 10, 1769237997, 1776896484, -748832815
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 570, 160000, 10, 1797565422, 1805331899, -692069975
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 580, 160000, 10, 1825856379, 1833723133, -635387784
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 590, 160000, 10, 1854099700, 1862075124, -578792472
2025-03-17, 18:37:21, bst, 10000, 20, numa, numa, 600, 160000, 10, 1882298145, 1890382785, -522286366
2025-03-17, 18:37:24, bst, 10000, 20, numa, regular, 0, 160000, 10, 0, 0, 0
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 10, 160000, 10, 51850968, 51406787, 103257755
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 20, 160000, 10, 95620469, 95112642, 190733111
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 30, 160000, 10, 136358112, 136331442, 272689554
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 40, 160000, 10, 175146060, 175896284, 351042344
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 50, 160000, 10, 212781278, 214049179, 426830457
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 60, 160000, 10, 249543414, 251264965, 500808379
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 70, 160000, 10, 285545073, 287861294, 573406367
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 80, 160000, 10, 320742526, 323816231, 644558757
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 90, 160000, 10, 355693524, 359079193, 714772717
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 100, 160000, 10, 390048133, 393997605, 784045738
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 110, 160000, 10, 424037300, 428505884, 852543184
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 120, 160000, 10, 457486139, 462652282, 920138421
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 130, 160000, 10, 490681520, 496469675, 987151195
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 140, 160000, 10, 523506852, 529992111, 1053498963
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 150, 160000, 10, 556207256, 563232042, 1119439298
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 160, 160000, 10, 588794879, 596116091, 1184910970
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 170, 160000, 10, 621035653, 628768821, 1249804474
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 180, 160000, 10, 653022886, 661317056, 1314339942
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 190, 160000, 10, 684925266, 693579183, 1378504449
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 200, 160000, 10, 716555791, 725738899, 1442294690
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 210, 160000, 10, 747860343, 757631043, 1505491386
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 220, 160000, 10, 779172196, 789258494, 1568430690
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 230, 160000, 10, 810421173, 820841981, 1631263154
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 240, 160000, 10, 841480714, 852348811, 1693829525
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 250, 160000, 10, 872350117, 883638693, 1755988810
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 260, 160000, 10, 903143511, 914890186, 1818033697
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 270, 160000, 10, 933695876, 946018415, 1879714291
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 280, 160000, 10, 964174011, 977023833, 1941197844
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 290, 160000, 10, 994432369, 1007845371, 2002277740
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 300, 160000, 10, 1024791471, 1038594481, 2063385952
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 310, 160000, 10, 1055098201, 1069100015, 2124198216
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 320, 160000, 10, 1085347211, 1099516857, -2110103228
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 330, 160000, 10, 1115429682, 1129960435, -2049577179
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 340, 160000, 10, 1145286730, 1160339981, -1989340585
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 350, 160000, 10, 1175102231, 1190628424, -1929236641
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 360, 160000, 10, 1204914212, 1220756770, -1869296314
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 370, 160000, 10, 1234566542, 1250877368, -1809523386
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 380, 160000, 10, 1264178201, 1280908796, -1749880299
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 390, 160000, 10, 1293666919, 1310862381, -1690437996
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 400, 160000, 10, 1323069404, 1340746501, -1631151391
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 410, 160000, 10, 1352428140, 1370569409, -1571969747
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 420, 160000, 10, 1381670939, 1400308906, -1512987451
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 430, 160000, 10, 1410763305, 1429980647, -1454223344
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 440, 160000, 10, 1439784935, 1459582651, -1395599710
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 450, 160000, 10, 1468805515, 1489068660, -1337093121
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 460, 160000, 10, 1497828235, 1518549104, -1278589957
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 470, 160000, 10, 1526803040, 1547961603, -1220202653
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 480, 160000, 10, 1555772035, 1577313072, -1161882189
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 490, 160000, 10, 1584604950, 1606586167, -1103776179
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 500, 160000, 10, 1613447913, 1635824920, -1045694463
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 510, 160000, 10, 1642238718, 1664916459, -987812119
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 520, 160000, 10, 1670944676, 1693934415, -930088205
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 530, 160000, 10, 1699502857, 1723021996, -872442443
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 540, 160000, 10, 1728035193, 1751940912, -814991191
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 550, 160000, 10, 1756546424, 1780843753, -757577119
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 560, 160000, 10, 1784966916, 1809769497, -700230883
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 570, 160000, 10, 1813398168, 1838648599, -642920529
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 580, 160000, 10, 1841842066, 1867476310, -585648920
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 590, 160000, 10, 1870183022, 1896250247, -528534027
2025-03-17, 18:48:21, bst, 10000, 20, numa, regular, 600, 160000, 10, 1898556717, 1924893832, -471516747
2025-03-17, 18:48:23, bst, 10000, 20, regular, numa, 0, 160000, 10, 0, 0, 0
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 10, 160000, 10, 43320713, 44274463, 87595176
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 20, 160000, 10, 81079674, 82113560, 163193234
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 30, 160000, 10, 116592805, 117717563, 234310368
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 40, 160000, 10, 150722662, 151933319, 302655981
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 50, 160000, 10, 183903257, 185163346, 369066603
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 60, 160000, 10, 216311606, 217630796, 433942402
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 70, 160000, 10, 248077090, 249485263, 497562353
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 80, 160000, 10, 279345907, 280828211, 560174118
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 90, 160000, 10, 310181603, 311740044, 621921647
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 100, 160000, 10, 340644703, 342275689, 682920392
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 110, 160000, 10, 370763790, 372485705, 743249495
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 120, 160000, 10, 400589865, 402397850, 802987715
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 130, 160000, 10, 430149788, 432036448, 862186236
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 140, 160000, 10, 459463792, 461438096, 920901888
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 150, 160000, 10, 488561148, 490609361, 979170509
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 160, 160000, 10, 517453012, 519584237, 1037037249
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 170, 160000, 10, 546156147, 548370959, 1094527106
2025-03-17, 18:59:26, bst, 10000, 20, regular, numa, 180, 160000, 10, 574684478, 576968664, 1151653142
